Timestamp,Usia,Domisili,Status Tempat Tinggal,Berapa jumlah orang dalam tempat tinggal Anda? ,Apakah tempat tinggal Anda memiliki kulkas? ,Seberapa sering Anda terlibat dalam membeli kebutuhan makanan rumah tangga? ,Kisaran pengeluaran rumah tangga untuk makanan dalam satu bulan ,Saya pernah lupa bahwa masih ada makanan tertentu di dalam kulkas.  ,Saya baru menyadari masih memiliki suatu bahan makanan setelah membeli produk yang sama. ,Saya pernah menemukan makanan di kulkas yang sudah kedaluwarsa atau tidak layak dikonsumsi. ,Saya memiliki bahan makanan di kulkas tetapi bingung harus mengolahnya menjadi makanan apa. ,"Sebelum berbelanja, saya selalu mengecek makanan yang masih tersedia di rumah. ",Saya pernah membeli makanan terlalu banyak hingga sebagian akhirnya tidak dikonsumsi. ,Saya kesulitan mengetahui seluruh isi kulkas tanpa mengeceknya satu per satu. ,Saya ingin dapat mengecek isi kulkas dari luar rumah tanpa harus melihatnya secara langsung. ,Saya sering kesulitan mengingat tanggal kedaluwarsa makanan yang disimpan di kulkas. ,Saya membutuhkan pengingat ketika makanan sudah mendekati tanggal kedaluwarsa. ,Akan membantu jika makanan di kulkas dapat otomatis diurutkan berdasarkan mana yang perlu digunakan terlebih dahulu. ,Keputusan saya memilih menu makanan belum selalu mempertimbangkan bahan yang sudah tersedia di rumah. ,Saya tertarik mendapatkan rekomendasi resep berdasarkan bahan yang sudah tersedia di kulkas. ,Saya akan lebih tertarik menggunakan suatu resep jika resep tersebut membantu menghabiskan bahan yang hampir kedaluwarsa. ,Mengetahui nilai uang dari makanan yang terbuang akan membuat saya lebih berhati-hati dalam membeli dan menggunakan makanan. ,Saya tertarik melihat laporan mengenai jumlah makanan dan uang yang berhasil saya hemat setiap bulan. ,Fitur FRISA mana yang paling berguna bagi Anda? Pilih maksimal 3.,Bagaimana cara yang paling nyaman bagi Anda untuk memasukkan makanan ke sistem FRISA? 
23/09/2026 22:13:32,18–22 tahun,Tangerang,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas bersama",Sering,Rp1.000.000–Rp2.000.000,5,4,3,4,4,5,5,4,5,5,5,3,4,4,5,4,"Prioritas makanan yang harus segera digunakan, Laporan makanan dan uang yang berhasil dihemat, Rekomendasi resep berdasarkan bahan tersedia",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 22:33:44,23–30 tahun,Bogor,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,> Rp6.000.000,5,5,3,4,3,4,4,3,5,4,5,4,4,4,5,4,"Shopping List, Peringatan pembelian barang yang sudah tersedia, Mengetahui isi kulkas dari aplikasi",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 22:36:06,18–22 tahun,Tangerang,Tinggal bersama keluarga,2 orang,"Ya, kulkas pribadi",Jarang,Tidak tahu / tidak ingin menjawab,4,4,4,3,5,5,4,4,4,5,5,4,5,5,5,4,"Peringatan pembelian barang yang sudah tersedia, Pengingat makanan mendekati kedaluwarsa, Laporan makanan dan uang yang berhasil dihemat",Scan melalui kamera smartphone
23/09/2026 22:36:27,18–22 tahun,Surabaya,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp1.000.000–Rp2.000.000,4,4,5,4,3,5,5,5,3,5,5,4,5,5,4,4,"Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa, Deteksi makanan melalui kamera",Scan barcode produk
23/09/2026 22:56:57,18–22 tahun,Jakarta,Tinggal bersama teman,3–4 orang,"Ya, kulkas bersama",Sering,< Rp1.000.000,4,4,4,5,4,4,4,4,3,5,4,4,5,5,5,5,"Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 23:03:56,18–22 tahun,Bandung,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp1.000.000–Rp2.000.000,3,4,3,4,3,4,4,5,3,4,5,3,5,5,5,5,"Peringatan pembelian barang yang sudah tersedia, Pengingat makanan mendekati kedaluwarsa, Deteksi makanan melalui kamera",Kamera FRISA mengenali makanan secara otomatis
23/09/2026 23:09:20,31–40 tahun,Jakarta,Tinggal bersama teman,2 orang,"Ya, kulkas bersama",Sering,< Rp1.000.000,4,3,4,5,4,3,5,5,3,5,5,4,5,4,4,4,"Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi, Laporan makanan dan uang yang berhasil dihemat",Scan barcode produk
23/09/2026 23:17:04,18–22 tahun,Tangerang,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,4,4,3,4,3,3,4,4,4,4,5,4,5,5,5,4,"Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa, Peringatan pembelian barang yang sudah tersedia",Perintah suara ke FRISA
23/09/2026 23:35:25,31–40 tahun,Bandung,Tinggal bersama keluarga,>6 orang,"Ya, kulkas pribadi",Jarang,Rp4.000.001–Rp6.000.000,4,4,4,4,3,4,5,4,4,5,5,4,4,4,4,5,"Mengetahui isi kulkas dari aplikasi, Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa",Scan barcode produk
24/09/2026 06:41:19,18–22 tahun,Jakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,3,4,5,5,3,4,4,4,4,4,3,4,5,5,5,4,"Peringatan pembelian barang yang sudah tersedia, Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 06:44:00,23–30 tahun,Depok,Tinggal bersama teman,3–4 orang,"Ya, kulkas bersama",Sering,< Rp1.000.000,5,4,5,4,3,4,3,4,5,5,4,5,5,3,4,4,"Mengetahui isi kulkas dari aplikasi, Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa",Scan melalui kamera smartphone
24/09/2026 06:47:18,18–22 tahun,Jakarta,Lainnya,3–4 orang,"Ya, kulkas pribadi",Jarang,Rp1.000.000–Rp2.000.000,3,3,5,3,4,4,3,4,4,5,5,3,5,4,5,5,"Pengingat makanan mendekati kedaluwarsa, Deteksi makanan melalui kamera, Laporan makanan dan uang yang berhasil dihemat",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 06:50:23,18–22 tahun,Semarang,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,Rp4.000.001–Rp6.000.000,3,3,3,5,3,4,5,3,5,3,4,4,4,4,5,4,"Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa, Mengetahui isi kulkas dari aplikasi",Scan barcode produk
24/09/2026 06:59:34,18–22 tahun,Tangerang,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Hampir selalu,Rp4.000.001–Rp6.000.000,3,4,3,3,4,4,5,5,4,5,5,3,5,5,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Deteksi makanan melalui kamera, Laporan makanan dan uang yang berhasil dihemat",Scan barcode produk
24/09/2026 07:04:58,41–50 tahun,Tangerang,Tinggal bersama keluarga,2 orang,"Ya, kulkas pribadi",Sering,> Rp6.000.000,3,3,4,5,3,3,4,5,3,5,5,3,4,4,3,4,"Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan, Rekomendasi resep berdasarkan bahan tersedia",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 07:06:14,18–22 tahun,Jakarta,Tinggal bersama keluarga,>6 orang,"Ya, kulkas bersama",Jarang,Rp4.000.001–Rp6.000.000,4,5,4,4,4,3,4,4,3,5,5,4,4,5,5,5,"Pengingat makanan mendekati kedaluwarsa, Peringatan pembelian barang yang sudah tersedia, Prioritas makanan yang harus segera digunakan",Scan melalui kamera smartphone
24/09/2026 07:06:54,23–30 tahun,Jakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,4,3,4,3,5,4,4,4,5,4,5,5,5,4,5,5,"Mengetahui isi kulkas dari aplikasi, Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 07:10:01,41–50 tahun,Semarang,Kost / kontrakan,1 orang,Tidak,Hampir selalu,Tidak tahu / tidak ingin menjawab,3,4,3,3,3,3,4,5,4,4,4,3,4,5,4,5,"Pengingat makanan mendekati kedaluwarsa, Deteksi makanan melalui kamera, Mengetahui isi kulkas dari aplikasi",Integrasi struk belanja / digital receipt
24/09/2026 07:13:38,23–30 tahun,Jakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Hampir selalu,Rp2.000.001–Rp4.000.000,4,4,5,4,4,3,5,5,4,5,5,3,5,4,5,5,"Mengetahui isi kulkas dari aplikasi, Rekomendasi resep berdasarkan bahan tersedia, Peringatan pembelian barang yang sudah tersedia",Perintah suara ke FRISA
24/09/2026 07:18:19,23–30 tahun,Jakarta,Tinggal bersama teman,3–4 orang,"Ya, kulkas bersama",Sering,Rp1.000.000–Rp2.000.000,5,4,4,4,4,5,3,3,4,5,4,4,5,4,4,3,"Prioritas makanan yang harus segera digunakan, Mengetahui isi kulkas dari aplikasi, Rekomendasi resep berdasarkan bahan tersedia",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 07:23:37,23–30 tahun,Jakarta,Tinggal bersama keluarga,>6 orang,"Ya, kulkas bersama",Kadang-kadang,Rp1.000.000–Rp2.000.000,5,4,4,4,4,5,5,5,5,4,5,4,4,5,5,5,"Prioritas makanan yang harus segera digunakan, Rekomendasi resep berdasarkan bahan tersedia, Deteksi makanan melalui kamera",Perintah suara ke FRISA
24/09/2026 07:24:23,18–22 tahun,Tangerang,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,Rp1.000.000–Rp2.000.000,4,4,4,4,4,5,5,5,4,4,5,4,4,4,5,5,"Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia, Prioritas makanan yang harus segera digunakan",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 07:26:41,23–30 tahun,Bandung,Kost / kontrakan,>6 orang,Tidak,Sering,Rp1.000.000–Rp2.000.000,4,3,5,4,4,4,5,5,4,4,4,4,5,4,5,5,"Peringatan pembelian barang yang sudah tersedia, Mengetahui isi kulkas dari aplikasi, Deteksi makanan melalui kamera",Scan melalui kamera smartphone
24/09/2026 07:32:53,41–50 tahun,Semarang,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,4,4,4,3,3,4,3,5,4,5,4,3,4,4,5,5,"Mengetahui isi kulkas dari aplikasi, Peringatan pembelian barang yang sudah tersedia, Pengingat makanan mendekati kedaluwarsa",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 07:34:10,23–30 tahun,Tangerang,Tinggal sendiri,1 orang,"Ya, kulkas bersama",Hampir selalu,Rp1.000.000–Rp2.000.000,4,4,5,3,3,3,4,5,4,5,5,5,5,4,4,5,"Pengingat makanan mendekati kedaluwarsa, Deteksi makanan melalui kamera, Prioritas makanan yang harus segera digunakan",Scan melalui kamera smartphone
24/09/2026 07:37:54,41–50 tahun,Bogor,Tinggal bersama keluarga,>6 orang,"Ya, kulkas pribadi",Sering,< Rp1.000.000,4,4,4,5,3,4,5,4,4,5,5,4,4,4,4,5,"Pengingat makanan mendekati kedaluwarsa, Laporan makanan dan uang yang berhasil dihemat, Mengetahui isi kulkas dari aplikasi",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 07:46:22,18–22 tahun,Depok,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,< Rp1.000.000,4,4,4,4,4,5,3,4,4,5,4,4,4,5,5,4,"Laporan makanan dan uang yang berhasil dihemat, Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa",Input secara manual melalui aplikasi
24/09/2026 07:46:27,23–30 tahun,Bandung,Tinggal bersama keluarga,>6 orang,"Ya, kulkas pribadi",Sering,Rp4.000.001–Rp6.000.000,4,3,4,3,3,3,4,4,4,5,5,3,4,4,4,4,"Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa, Mengetahui isi kulkas dari aplikasi",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 07:56:25,23–30 tahun,Bogor,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,< Rp1.000.000,5,4,5,3,5,4,4,5,5,4,5,3,3,5,4,5,"Deteksi makanan melalui kamera, Mengetahui isi kulkas dari aplikasi, Shopping List",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 08:21:42,31–40 tahun,Pontianak,Kost / kontrakan,1 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp1.000.000–Rp2.000.000,3,4,5,4,4,4,5,4,4,4,5,5,4,4,3,4,"Deteksi makanan melalui kamera, Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa",Integrasi struk belanja / digital receipt
24/09/2026 08:25:53,18–22 tahun,Yogyakarta,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Sering,Rp2.000.001–Rp4.000.000,4,4,4,4,4,5,4,5,4,5,5,5,3,3,5,5,"Peringatan pembelian barang yang sudah tersedia, Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa",Scan melalui kamera smartphone
24/09/2026 08:27:21,23–30 tahun,Jakarta,Tinggal bersama teman,3–4 orang,"Ya, kulkas bersama",Hampir selalu,Rp1.000.000–Rp2.000.000,5,5,4,4,3,4,4,5,4,4,4,5,4,4,5,5,"Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan, Laporan makanan dan uang yang berhasil dihemat",Perintah suara ke FRISA
24/09/2026 08:28:05,31–40 tahun,Tangerang,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp4.000.001–Rp6.000.000,4,4,4,4,3,3,4,3,4,5,5,4,4,5,4,4,"Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi, Pengingat makanan mendekati kedaluwarsa",Perintah suara ke FRISA
24/09/2026 08:31:26,41–50 tahun,Bekasi,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Hampir selalu,Rp1.000.000–Rp2.000.000,3,4,5,4,4,4,4,3,5,5,5,3,5,4,4,4,"Shopping List, Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan",Scan barcode produk
24/09/2026 08:32:39,>50 tahun,Jakarta,Kost / kontrakan,1 orang,"Ya, kulkas bersama",Jarang,Rp1.000.000–Rp2.000.000,5,4,3,4,4,5,5,5,4,4,5,5,5,5,5,5,"Prioritas makanan yang harus segera digunakan, Laporan makanan dan uang yang berhasil dihemat, Deteksi makanan melalui kamera",Scan melalui kamera smartphone
24/09/2026 08:35:08,18–22 tahun,Jakarta,Tinggal bersama keluarga,2 orang,"Ya, kulkas pribadi",Jarang,> Rp6.000.000,3,3,3,5,3,5,4,5,4,5,5,4,4,4,4,5,"Mengetahui isi kulkas dari aplikasi, Deteksi makanan melalui kamera, Prioritas makanan yang harus segera digunakan",Integrasi struk belanja / digital receipt
24/09/2026 08:43:17,18–22 tahun,Bekasi,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,Rp4.000.001–Rp6.000.000,4,4,3,4,4,4,3,4,3,4,4,4,5,5,3,5,"Deteksi makanan melalui kamera, Pengingat makanan mendekati kedaluwarsa, Shopping List",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 08:43:23,18–22 tahun,Jakarta,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,Rp4.000.001–Rp6.000.000,4,3,4,4,3,4,4,5,5,4,4,4,4,5,4,5,"Pengingat makanan mendekati kedaluwarsa, Rekomendasi resep berdasarkan bahan tersedia, Laporan makanan dan uang yang berhasil dihemat",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 08:46:48,18–22 tahun,Tangerang,Tinggal bersama keluarga,>6 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp2.000.001–Rp4.000.000,5,4,3,5,4,4,4,4,3,4,4,3,4,5,5,4,"Deteksi makanan melalui kamera, Mengetahui isi kulkas dari aplikasi, Peringatan pembelian barang yang sudah tersedia",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 08:56:01,18–22 tahun,Jakarta,Tinggal bersama keluarga,2 orang,"Ya, kulkas pribadi",Sering,Rp4.000.001–Rp6.000.000,4,3,3,5,4,3,4,4,4,5,4,3,4,5,5,5,"Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan, Rekomendasi resep berdasarkan bahan tersedia",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 08:56:39,23–30 tahun,Jakarta,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Sering,< Rp1.000.000,5,4,5,3,4,4,4,5,4,4,4,4,4,5,5,4,"Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera, Mengetahui isi kulkas dari aplikasi",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 08:57:45,18–22 tahun,Surabaya,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Hampir selalu,Rp4.000.001–Rp6.000.000,4,4,5,5,3,4,4,4,4,4,4,4,5,4,4,4,"Prioritas makanan yang harus segera digunakan, Mengetahui isi kulkas dari aplikasi, Rekomendasi resep berdasarkan bahan tersedia",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 08:57:50,23–30 tahun,Depok,Lainnya,2 orang,"Ya, kulkas bersama",Tidak pernah,Rp1.000.000–Rp2.000.000,3,4,4,4,3,5,4,5,4,4,3,3,5,4,4,5,"Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan, Peringatan pembelian barang yang sudah tersedia",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 09:14:22,18–22 tahun,Bandung,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp4.000.001–Rp6.000.000,3,4,4,4,4,3,4,4,5,5,4,3,5,5,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera",Input secara manual melalui aplikasi
24/09/2026 09:17:41,18–22 tahun,Jakarta,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Sering,Rp1.000.000–Rp2.000.000,3,4,4,4,5,3,4,5,3,4,5,4,5,4,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 09:19:58,18–22 tahun,Surabaya,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp4.000.001–Rp6.000.000,3,3,4,3,3,5,4,5,5,4,5,4,5,5,4,5,"Pengingat makanan mendekati kedaluwarsa, Prioritas makanan yang harus segera digunakan, Rekomendasi resep berdasarkan bahan tersedia",Integrasi struk belanja / digital receipt
24/09/2026 09:20:54,18–22 tahun,Bandung,Kost / kontrakan,1 orang,"Ya, kulkas pribadi",Kadang-kadang,< Rp1.000.000,4,4,5,5,3,3,4,5,5,5,4,4,5,5,5,4,"Prioritas makanan yang harus segera digunakan, Deteksi makanan melalui kamera, Mengetahui isi kulkas dari aplikasi",Scan melalui kamera smartphone
24/09/2026 09:26:11,18–22 tahun,Semarang,Kost / kontrakan,3–4 orang,"Ya, kulkas bersama",Kadang-kadang,Rp1.000.000–Rp2.000.000,3,3,3,4,4,3,5,5,3,4,5,5,5,5,5,5,"Pengingat makanan mendekati kedaluwarsa, Shopping List, Peringatan pembelian barang yang sudah tersedia",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 09:37:08,18–22 tahun,Tangerang,Kost / kontrakan,3–4 orang,"Ya, kulkas bersama",Kadang-kadang,Rp1.000.000–Rp2.000.000,4,4,4,4,3,4,4,5,4,4,4,4,5,5,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Pengingat makanan mendekati kedaluwarsa, Mengetahui isi kulkas dari aplikasi",Scan melalui kamera smartphone
24/09/2026 09:40:05,18–22 tahun,Tangerang,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas bersama",Sering,Rp2.000.001–Rp4.000.000,4,4,4,3,3,4,5,4,4,5,4,4,4,4,4,4,"Deteksi makanan melalui kamera, Prioritas makanan yang harus segera digunakan, Mengetahui isi kulkas dari aplikasi",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 09:43:21,18–22 tahun,Bandung,Kost / kontrakan,3–4 orang,"Ya, kulkas pribadi",Sering,Rp1.000.000–Rp2.000.000,4,3,3,3,4,3,3,4,4,5,5,3,5,3,4,4,"Rekomendasi resep berdasarkan bahan tersedia, Prioritas makanan yang harus segera digunakan, Pengingat makanan mendekati kedaluwarsa",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 09:43:54,23–30 tahun,Bogor,Tinggal bersama keluarga,3–4 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp2.000.001–Rp4.000.000,5,4,5,4,3,4,4,4,3,4,5,4,5,5,5,5,"Mengetahui isi kulkas dari aplikasi, Prioritas makanan yang harus segera digunakan, Voice Assistant",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 09:45:20,41–50 tahun,Jakarta,Tinggal bersama keluarga,>6 orang,"Ya, kulkas pribadi",Jarang,> Rp6.000.000,4,4,4,4,4,4,3,4,5,4,4,4,5,5,5,4,"Prioritas makanan yang harus segera digunakan, Mengetahui isi kulkas dari aplikasi, Rekomendasi resep berdasarkan bahan tersedia",Scan melalui kamera smartphone
24/09/2026 09:51:25,18–22 tahun,Jakarta,Kost / kontrakan,2 orang,"Ya, kulkas bersama",Kadang-kadang,Rp1.000.000–Rp2.000.000,5,4,4,5,3,5,5,4,4,4,5,3,4,4,5,5,"Pengingat makanan mendekati kedaluwarsa, Mengetahui isi kulkas dari aplikasi, Prioritas makanan yang harus segera digunakan",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 09:51:52,18–22 tahun,Bogor,Tinggal bersama keluarga,5–6 orang,"Ya, kulkas pribadi",Kadang-kadang,Rp4.000.001–Rp6.000.000,5,4,3,3,3,4,4,4,4,5,4,3,4,4,5,5,"Rekomendasi resep berdasarkan bahan tersedia, Mengetahui isi kulkas dari aplikasi, Pengingat makanan mendekati kedaluwarsa",Kamera FRISA mengenali makanan secara otomatis
24/09/2026 09:54:36,18–22 tahun,Yogyakarta,Tinggal sendiri,1 orang,"Ya, kulkas pribadi",Sering,Rp1.000.000–Rp2.000.000,4,4,4,4,4,4,4,5,4,5,5,3,4,5,5,4,"Prioritas makanan yang harus segera digunakan, Mengetahui isi kulkas dari aplikasi, Deteksi makanan melalui kamera",Scan barcode produk
